Make,CEO,Country
Audi,Rupert Stadler,Germany
BMW,Harald Krüger,Germany
FIAT,Michael Manley,Italy
Mercedes-Benz,Dieter Zetsche,Germany
Chrysler,Michael Manley,Italy
Nissan,Carlos Ghosn,Japan
Volvo,Martin Lundstedt,Sweden
Mazda,Akira Marumoto,Japan
Mitsubishi,Osamu Masuko,Japan
Ferrari,Louis Camilleri,Italy
Alfa Romeo,Timothy Kuniskis,Italy
Toyota,Akio Toyoda,Japan
McLaren,Zak Brown,Britain
Porsche,Oliver Blume,Germany
Saab,Håkan Buskhe,Sweden
Hyundai,Chung Mong-koo,South Korean
GMC,Mary T. Barra,United States
Honda,Takahiro Hachigo,Japan
Suzuki,Osamu Suzuki,Japan
Ford,James Hackett,United States
Cadillac,Johan de Nysschen,United States
Kia,Han Wu Park,South Korean
Bentley,Wolfgang Dürheimer,Britain
Chevrolet,Mary T. Barra,United States
Dodge,Timothy Kuniskis,United States
Lamborghini,Stefano Domenicali,Italy
Lincoln,Joy Falotico,United States
Subaru,Tomomi Nakamura,Japan
Volkswagen,Herbert Diess,Germany
Aston Martin,Andy Palmer,Britain
Land Rover,Ralf Speth,Britain
Buick,Mary T. Barra,United States
Lexus,Mark Templin,Japan
Infiniti,Johan De Nysschen,Japan
Acura,Toshiaki Mikoshiba,Japan
Tesla,Elon Musk,United States
Rolls-Royce,Warren East,Britain
