id,Make,Model,Year,Engine_HP,Engine_Cylinders,Highway_MPG,City_MPG
1,BMW,1 Series M,2011,335,6,26,19
2,BMW,1 Series,2011,300,6,28,19
3,BMW,1 Series,2011,300,6,28,20
4,BMW,1 Series,2011,230,6,28,18
5,BMW,1 Series,2011,230,6,28,18
6,BMW,1 Series,2012,230,6,28,18
7,BMW,1 Series,2012,300,6,26,17
8,BMW,1 Series,2012,300,6,28,20
9,BMW,1 Series,2012,230,6,28,18
10,BMW,1 Series,2013,230,6,27,18
11,BMW,1 Series,2013,300,6,28,20
12,BMW,1 Series,2013,230,6,28,19
13,BMW,1 Series,2013,300,6,28,19
14,BMW,1 Series,2013,230,6,28,19
15,BMW,1 Series,2013,230,6,28,19
16,BMW,1 Series,2013,320,6,25,18
17,BMW,1 Series,2013,320,6,28,20
18,Audi,100,1992,172,6,24,17
19,Audi,100,1992,172,6,24,17
20,Audi,100,1992,172,6,20,16
21,Audi,100,1992,172,6,24,17
22,Audi,100,1992,172,6,21,16
23,Audi,100,1993,172,6,24,17
24,Audi,100,1993,172,6,20,16
25,Audi,100,1993,172,6,24,17
26,Audi,100,1993,172,6,24,17
27,Audi,100,1993,172,6,21,16
28,Audi,100,1994,172,6,21,16
29,Audi,100,1994,172,6,22,16
30,Audi,100,1994,172,6,22,17
31,Audi,100,1994,172,6,22,16
32,Audi,100,1994,172,6,21,16
33,FIAT,124 Spider,2017,160,4,35,26
34,FIAT,124 Spider,2017,160,4,35,26
35,FIAT,124 Spider,2017,160,4,35,26
36,Mercedes-Benz,190-Class,1991,130,4,26,18
37,Mercedes-Benz,190-Class,1991,158,6,25,17
38,Mercedes-Benz,190-Class,1992,158,6,25,17
39,Mercedes-Benz,190-Class,1992,130,4,26,18
40,Mercedes-Benz,190-Class,1993,130,4,26,18
41,Mercedes-Benz,190-Class,1993,158,6,25,17
42,BMW,2 Series,2016,240,4,35,23
43,BMW,2 Series,2016,240,4,34,23
44,BMW,2 Series,2016,320,6,31,20
45,BMW,2 Series,2016,240,4,35,23
46,BMW,2 Series,2016,240,4,34,22
47,BMW,2 Series,2016,320,6,31,20
48,BMW,2 Series,2016,240,4,34,22
49,BMW,2 Series,2016,320,6,30,20
50,BMW,2 Series,2016,320,6,30,20
51,BMW,2 Series,2017,335,6,31,21
52,BMW,2 Series,2017,335,6,32,21
53,BMW,2 Series,2017,335,6,32,21
54,BMW,2 Series,2017,335,6,32,21
55,BMW,2 Series,2017,248,4,34,23
56,BMW,2 Series,2017,248,4,35,24
57,BMW,2 Series,2017,248,4,33,24
58,BMW,2 Series,2017,248,4,33,23
59,Audi,200,1990,162,5,20,16
60,Audi,200,1990,162,5,22,15
61,Audi,200,1990,162,5,23,15
62,Audi,200,1991,217,5,22,16
63,Audi,200,1991,217,5,22,16
64,Audi,200,1991,162,5,20,16
65,Chrysler,200,2015,184,4,36,23
66,Chrysler,200,2015,184,4,36,23
67,Chrysler,200,2015,295,6,29,18
68,Chrysler,200,2015,184,4,36,23
69,Chrysler,200,2015,184,4,36,23
70,Chrysler,200,2015,295,6,29,18
71,Chrysler,200,2016,184,4,36,23
72,Chrysler,200,2016,184,4,36,23
73,Chrysler,200,2016,295,6,29,18
74,Chrysler,200,2016,295,6,29,18
75,Chrysler,200,2016,184,4,36,23
76,Chrysler,200,2016,184,4,36,23
77,Chrysler,200,2016,184,4,36,23
78,Chrysler,200,2016,184,4,36,23
79,Chrysler,200,2017,295,6,28,18
80,Chrysler,200,2017,295,6,28,18
81,Chrysler,200,2017,184,4,36,23
82,Chrysler,200,2017,184,4,36,23
83,Chrysler,200,2017,184,4,36,23
84,Chrysler,200,2017,295,6,28,18
85,Chrysler,200,2017,184,4,36,23
86,Chrysler,200,2017,184,4,36,23
87,Chrysler,200,2017,184,4,36,23
88,Nissan,200SX,1996,115,4,36,26
89,Nissan,200SX,1996,115,4,36,26
90,Nissan,200SX,1996,140,4,29,21
91,Nissan,200SX,1997,140,4,29,21
92,Nissan,200SX,1997,115,4,35,25
93,Nissan,200SX,1997,115,4,35,25
94,Nissan,200SX,1998,115,4,35,25
95,Nissan,200SX,1998,115,4,35,25
96,Nissan,200SX,1998,140,4,28,20
97,Nissan,240SX,1996,155,4,26,19
98,Nissan,240SX,1996,155,4,26,19
99,Nissan,240SX,1997,155,4,26,19
100,Nissan,240SX,1997,155,4,26,19
101,Nissan,240SX,1997,155,4,26,19
102,Nissan,240SX,1998,155,4,25,20
103,Nissan,240SX,1998,155,4,25,20
104,Nissan,240SX,1998,155,4,25,20
105,Volvo,240,1991,114,4,26,19
106,Volvo,240,1991,114,4,23,18
107,Volvo,240,1991,114,4,26,19
108,Volvo,240,1992,114,4,26,19
109,Volvo,240,1992,114,4,26,19
110,Volvo,240,1992,114,4,26,19
111,Volvo,240,1993,114,4,26,19
112,Volvo,240,1993,114,4,25,18
113,Mazda,2,2012,100,4,35,29
114,Mazda,2,2012,100,4,35,29
